Dataset;Trigger;CandidatePool;CandidateNumber;DiscoveryRank;Split;Offset;Occurrences;Appearances;RatePct;GeneralRatePct;LiftPctPoints
OVERALL;1;05,10,15,16,21,23,57,61,62,63,75,83,90;75;2;DISCOVERY;9;195;14;7.179487;7.111984;0.067503
OVERALL;1;05,10,15,16,21,23,57,61,62,63,75,83,90;83;4;DISCOVERY;1;195;19;9.74359;7.347741;2.395849
OVERALL;1;05,10,15,16,21,23,57,61,62,63,75,83,90;83;4;DISCOVERY;2;195;18;9.230769;7.347741;1.883029
OVERALL;1;05,10,15,16,21,23,57,61,62,63,75,83,90;83;4;DISCOVERY;3;195;20;10.25641;7.347741;2.90867
OVERALL;1;05,10,15,16,21,23,57,61,62,63,75,83,90;83;4;DISCOVERY;4;195;18;9.230769;7.347741;1.883029
OVERALL;1;05,10,15,16,21,23,57,61,62,63,75,83,90;83;4;DISCOVERY;5;195;16;8.205128;7.347741;0.857388
OVERALL;1;05,10,15,16,21,23,57,61,62,63,75,83,90;83;4;DISCOVERY;6;195;11;5.641026;7.347741;-1.706715
OVERALL;1;05,10,15,16,21,23,57,61,62,63,75,83,90;83;4;DISCOVERY;7;195;15;7.692308;7.347741;0.344567
OVERALL;1;05,10,15,16,21,23,57,61,62,63,75,83,90;83;4;DISCOVERY;8;195;16;8.205128;7.347741;0.857388
OVERALL;1;05,10,15,16,21,23,57,61,62,63,75,83,90;83;4;DISCOVERY;9;195;12;6.153846;7.347741;-1.193895
OVERALL;1;05,10,15,16,21,23,57,61,62,63,75,83,90;90;1;DISCOVERY;1;195;14;7.179487;7.740668;-0.561181
OVERALL;1;05,10,15,16,21,23,57,61,62,63,75,83,90;90;1;DISCOVERY;2;195;13;6.666667;7.740668;-1.074001
OVERALL;1;05,10,15,16,21,23,57,61,62,63,75,83,90;90;1;DISCOVERY;3;195;16;8.205128;7.740668;0.46446
OVERALL;1;05,10,15,16,21,23,57,61,62,63,75,83,90;90;1;DISCOVERY;4;195;15;7.692308;7.740668;-0.04836
OVERALL;1;05,10,15,16,21,23,57,61,62,63,75,83,90;90;1;DISCOVERY;5;195;26;13.333333;7.740668;5.592665
OVERALL;1;05,10,15,16,21,23,57,61,62,63,75,83,90;90;1;DISCOVERY;6;195;24;12.307692;7.740668;4.567024
OVERALL;1;05,10,15,16,21,23,57,61,62,63,75,83,90;90;1;DISCOVERY;7;195;20;10.25641;7.740668;2.515742
OVERALL;1;05,10,15,16,21,23,57,61,62,63,75,83,90;90;1;DISCOVERY;8;195;18;9.230769;7.740668;1.490101
OVERALL;1;05,10,15,16,21,23,57,61,62,63,75,83,90;90;1;DISCOVERY;9;195;15;7.692308;7.740668;-0.04836
OVERALL;1;05,10,15,16,21,23,57,61,62,63,75,83,90;5;11;VALIDATION;1;51;5;9.803922;5.889282;3.91464
OVERALL;1;05,10,15,16,21,23,57,61,62,63,75,83,90;5;11;VALIDATION;2;51;2;3.921569;5.889282;-1.967713
OVERALL;1;05,10,15,16,21,23,57,61,62,63,75,83,90;5;11;VALIDATION;3;51;2;3.921569;5.889282;-1.967713
OVERALL;1;05,10,15,16,21,23,57,61,62,63,75,83,90;5;11;VALIDATION;4;51;4;7.843137;5.889282;1.953856
OVERALL;1;05,10,15,16,21,23,57,61,62,63,75,83,90;5;11;VALIDATION;5;51;3;5.882353;5.889282;-0.006929
OVERALL;1;05,10,15,16,21,23,57,61,62,63,75,83,90;5;11;VALIDATION;6;51;2;3.921569;5.889282;-1.967713
OVERALL;1;05,10,15,16,21,23,57,61,62,63,75,83,90;5;11;VALIDATION;7;51;2;3.921569;5.889282;-1.967713
OVERALL;1;05,10,15,16,21,23,57,61,62,63,75,83,90;5;11;VALIDATION;8;51;2;3.921569;5.889282;-1.967713
OVERALL;1;05,10,15,16,21,23,57,61,62,63,75,83,90;5;11;VALIDATION;9;51;4;7.843137;5.889282;1.953856
OVERALL;1;05,10,15,16,21,23,57,61,62,63,75,83,90;10;9;VALIDATION;1;51;5;9.803922;6.713781;3.090141
OVERALL;1;05,10,15,16,21,23,57,61,62,63,75,83,90;10;9;VALIDATION;2;51;3;5.882353;6.713781;-0.831428
OVERALL;1;05,10,15,16,21,23,57,61,62,63,75,83,90;10;9;VALIDATION;3;51;2;3.921569;6.713781;-2.792212
OVERALL;1;05,10,15,16,21,23,57,61,62,63,75,83,90;10;9;VALIDATION;4;51;3;5.882353;6.713781;-0.831428
